№,Тема,Подтема,Вопрос,Ответ,Тип ответа,Рейтинг неожиданности факта (1-3),Сложность вопроса,Жанр,Распределение дат,AI
819,Музыка,Ed Sheeran,"В каком году Эд Ширан выпустил свой дебютный студийный альбом ""+""? (год)",2011,дата,1,3,поп,Современность,0
820,Музыка,Foo Fighters,Сколько студийных альбомов выпустила группа Foo Fighters (на начало 2024)?,11,количество,1,1,рок,,0
821,Музыка,Foo Fighters,Сколько раз Foo Fighters выигрывали Грэмми (на начало 2024)?,15,количество,1,2,рок,,0
822,Музыка,Foo Fighters,"В каком году Foo Fighters выпустили свой дебютный альбом ""Foo Fighters""? (год)",1995,дата,1,3,рок,XX век,0
823,Музыка,Green Day,Сколько раз Green Day выигрывали Грэмми?,5,количество,1,2,панк-рок,,0
824,Музыка,Green Day,Сколько студийных альбомов выпустила группа Green Day (на начало 2024)?,14,количество,1,1,панк-рок,,0
825,Музыка,Green Day,"В каком году Green Day выпустили свой дебютный студийный альбом ""39/Smooth""? (год)",1990,дата,1,3,панк-рок,XX век,0
826,Музыка,Imagine Dragons,Сколько раз Imagine Dragons выигрывали American Music Awards?,4,количество,1,2,инди-рок,,0
827,Музыка,Imagine Dragons,Сколько студийных альбомов выпустила группа Imagine Dragons (на начало 2024)?,6,количество,1,1,инди-рок,,0
828,Музыка,Imagine Dragons,"В каком году Imagine Dragons выпустили свой дебютный альбом ""Night Visions""? (год)",2012,дата,1,3,инди-рок,Современность,0
829,Музыка,K-pop,Сколько студийных альбомов выпустила группа BLACKPINK (на начало 2024)?,2,количество,1,2,k-pop,,0
830,Музыка,K-pop,Сколько полноформатных студийных альбомов выпустила группа Red Velvet (на начало 2024)?,3,количество,1,2,k-pop,,0
831,Музыка,K-pop,Сколько полноформатных студийных альбомов (корейских и японских) выпустила группа TWICE (на начало 2024)?,7,количество,1,2,k-pop,,0
832,Музыка,K-pop,Сколько участниц в группе BLACKPINK?,4,количество,1,1,k-pop,,0
833,Музыка,K-pop,Сколько полноформатных студийных альбомов выпустила IU (на начало 2024)?,5,количество,1,1,k-pop,,0
834,Музыка,K-pop,Сколько участниц в группе Red Velvet?,5,количество,1,1,k-pop,,0
835,Музыка,K-pop,Сколько участниц в группе TWICE?,9,количество,1,1,k-pop,,0
836,Музыка,K-pop,В каком году IU дебютировала? (год),2008,дата,1,3,k-pop,Современность,0
837,Музыка,K-pop,В каком году Red Velvet дебютировали? (год),2014,дата,1,3,k-pop,Современность,0
838,Музыка,K-pop,В каком году TWICE дебютировали? (год),2015,дата,1,3,k-pop,Современность,0
839,Музыка,K-pop,В каком году BLACKPINK дебютировали? (год),2016,дата,1,3,k-pop,Современность,0
840,Музыка,Linkin Park,Сколько раз Linkin Park выигрывали Грэмми?,2,количество,1,2,альтернативный рок,,0
841,Музыка,Linkin Park,Сколько студийных альбомов выпустила группа Linkin Park?,7,количество,1,1,альтернативный рок,,0
842,Музыка,Linkin Park,"В каком году Linkin Park выпустили свой дебютный альбом ""Hybrid Theory""? (год)",2000,дата,1,3,альтернативный рок,Современность,0
843,Музыка,Maroon 5,Сколько раз Maroon 5 выигрывали Грэмми?,3,количество,1,2,поп-рок,,0
844,Музыка,Maroon 5,Сколько студийных альбомов выпустила группа Maroon 5 (на начало 2024)?,7,количество,1,1,поп-рок,,0
845,Музыка,Maroon 5,"В каком году Maroon 5 выпустили свой дебютный альбом ""Songs About Jane""? (год)",2002,дата,1,3,поп-рок,Современность,0
846,Музыка,Massive Attack,Сколько музыкантов являются основателями Massive Attack?,3,количество,1,3,трип-хоп,,0
847,Музыка,Massive Attack,Сколько студийных альбомов выпустили Massive Attack?,5,количество,1,1,трип-хоп,,0
848,Музыка,Massive Attack,"В каком году Massive Attack выпустили свой дебютный альбом ""Blue Lines""? (год)",1991,дата,1,2,трип-хоп,XX век,0
849,Музыка,Muse,Сколько раз Muse выигрывали MTV Europe Music Awards?,5,количество,1,2,альтернативный рок,,0
850,Музыка,Muse,Сколько студийных альбомов выпустила группа Muse (на начало 2024)?,9,количество,1,1,альтернативный рок,,0
851,Музыка,Muse,"В каком году Muse выпустили свой дебютный альбом ""Showbiz""? (год)",1999,дата,1,3,альтернативный рок,XX век,0
852,Музыка,Portishead,Сколько студийных альбомов выпустили Portishead?,3,количество,1,1,трип-хоп,,0
853,Музыка,Portishead,"В каком году Portishead выпустили свой дебютный альбом ""Dummy""? (год)",1994,дата,1,2,трип-хоп,XX век,0
854,Музыка,Post Malone,Сколько синглов Post Malone достигли первого места в Billboard Hot 100 (на начало 2024)?,5,количество,1,2,"хип-хоп, поп",,0
855,Музыка,Post Malone,Сколько студийных альбомов выпустил Post Malone (на начало 2024)?,5,количество,1,1,"хип-хоп, поп",,0
856,Музыка,Post Malone,"В каком году Post Malone выпустил свой дебютный сингл ""White Iverson""? (год)",2015,дата,1,3,"хип-хоп, поп",Современность,0
857,Музыка,Radiohead,Сколько студийных альбомов выпустила группа Radiohead?,9,количество,1,1,альтернативный рок,,0
858,Музыка,Radiohead,Сколько раз Radiohead были номинированы на Грэмми?,18,количество,1,2,альтернативный рок,,0
859,Музыка,Radiohead,"В каком году Radiohead выпустили свой дебютный альбом ""Pablo Honey""? (год)",1993,дата,1,3,альтернативный рок,XX век,0
860,Музыка,Red Hot Chili Peppers,Сколько раз Red Hot Chili Peppers выигрывали Грэмми?,6,количество,1,2,фанк-рок,,0
861,Музыка,Red Hot Chili Peppers,Сколько студийных альбомов выпустила группа Red Hot Chili Peppers (на начало 2024)?,13,количество,1,1,фанк-рок,,0
862,Музыка,Red Hot Chili Peppers,"В каком году Red Hot Chili Peppers выпустили свой дебютный альбом ""The Red Hot Chili Peppers""? (год)",1984,дата,1,3,фанк-рок,XX век,0
863,Музыка,Taylor Swift,"Сколько раз Тейлор Свифт выигрывала ""Альбом года"" на Грэмми (на начало 2024)?",4,количество,1,1,"поп, кантри",,0
864,Музыка,Taylor Swift,"Сколько студийных альбомов выпустила Тейлор Свифт (на начало 2024, без перезаписей)?",11,количество,1,2,"поп, кантри",,0
865,Музыка,Taylor Swift,"Сколько стандартных треков вошло в альбом Тейлор Свифт ""1989""?",13,количество,1,3,"поп, кантри",,0
866,Музыка,The Killers,Сколько раз The Killers были номинированы на Грэмми?,7,количество,1,2,инди-рок,,0
867,Музыка,The Killers,Сколько студийных альбомов выпустила группа The Killers (на начало 2024)?,7,количество,1,1,инди-рок,,0
868,Музыка,The Killers,"В каком году The Killers выпустили свой дебютный альбом ""Hot Fuss""? (год)",2004,дата,1,3,инди-рок,Современность,0
869,Музыка,The Weeknd,Сколько студийных альбомов выпустил The Weeknd (на начало 2024)?,5,количество,1,1,R&B,,0
870,Музыка,The Weeknd,Сколько синглов The Weeknd достигли первого места в Billboard Hot 100 (на начало 2024)?,7,количество,1,2,R&B,,0
871,Музыка,The Weeknd,"В каком году The Weeknd выпустил свой дебютный микстейп ""House of Balloons""? (год)",2011,дата,1,3,R&B,Современность,0
872,Музыка,Tricky,На скольких альбомах Massive Attack участвовал Tricky?,2,количество,2,3,трип-хоп,,0
873,Музыка,Tricky,Сколько студийных альбомов выпустил Tricky (на начало 2024)?,14,количество,1,1,трип-хоп,,0
874,Музыка,Tricky,"В каком году Tricky выпустил свой дебютный альбом ""Maxinquaye""? (год)",1995,дата,1,2,трип-хоп,XX век,0
875,Музыка,Twenty One Pilots,Сколько раз Twenty One Pilots выигрывали Грэмми?,1,количество,1,2,инди-поп,,0
876,Музыка,Twenty One Pilots,Сколько студийных альбомов выпустила группа Twenty One Pilots (на начало 2024)?,6,количество,1,1,инди-поп,,0
877,Музыка,Twenty One Pilots,"В каком году Twenty One Pilots выпустили свой дебютный альбом ""Twenty One Pilots""? (год)",2009,дата,1,3,инди-поп,Современность,0
878,Музыка,Джаз,В каком году родился Луи Армстронг? (год),1901,дата,1,3,джаз,XX век,0
879,Музыка,Классическая музыка,Сколько симфоний написал Моцарт?,41,количество,1,2,,,0
880,Музыка,Музыкальные инструменты,Сколько струн у скрипки?,4,количество,1,1,классическая музыка,,0
881,Музыка,Музыкальные инструменты,Сколько струн у стандартной акустической или электрогитары?,6,количество,1,1,"рок, поп, блюз",,0
882,Музыка,Музыкальные инструменты,Сколько клавиш в правой клавиатуре полного концертного аккордеона?,41-45,количество,1,3,народная музыка,,0
883,Музыка,Музыкальные инструменты,Сколько клавиш у стандартного фортепиано?,88,количество,1,2,"классическая музыка, джаз",,0
885,Музыка,Поп-музыка,"Сколько раз в песне ""Baby"" Джастина Бибера повторяется слово ""baby""?",55,количество,1,2,поп,,0
886,Музыка,Рок-музыка,Сколько студийных альбомов выпустила группа Led Zeppelin?,8,количество,1,1,рок,,0
887,Музыка,Рок-музыка,Сколько студийных альбомов выпустила группа Queen?,15,количество,1,1,,,0
888,Музыка,Рок-музыка,Сколько лет прожил Фредди Меркьюри? (в годах),45,возраст,1,2,рок,,0
889,Музыка,Рок-музыка,В каком году была основана группа The Rolling Stones? (год),1962,дата,1,2,,XX век,0
890,Музыка,Рок-музыка,В каком году официально распалась группа The Beatles? (год),1970,дата,1,3,рок,XX век,0
891,Музыка,Факты,Сколько симфоний написал Бетховен?,9,количество,1,1,классическая музыка,,0
892,Музыка,Факты,Сколько полутонов в музыкальной октаве (хроматическая гамма)?,12,количество,1,3,,,0
893,Музыка,Факты,Сколько струн у стандартной концертной арфы?,47,количество,1,3,классическая музыка,,0
896,Музыка,Факты,В каком году Адольф Сакс запатентовал саксофон? (год),1846,дата,1,3,джаз,XIX век,0
897,Музыка,Факты,Сколько инструментов в стандартном биг-бэнде (джазовом оркестре)?,15-20,количество,1,2,джаз,,0
898,Настольные игры,Риичи Маджонг,На сколько хан увеличивает ценность руки Дабл-риичи по сравнению с обычным Риичи?,1,количество,1,3,,,0
899,Настольные игры,Риичи Маджонг,Сколько игроков участвуют в стандартной игре в Риичи Маджонг?,4,количество,1,1,,,0
900,Настольные игры,Риичи Маджонг,Сколько тайлов в закрытом кане?,4,количество,1,1,,,0
902,Настольные игры,Риичи Маджонг,Какая минимальная стоимость руки (в хан) считается якуманом (для счета)?,13,количество,1,2,,,0
903,Настольные игры,Риичи Маджонг,"Сколько различных типов тайлов можно использовать для составления ""пон""?",34,количество,1,3,,,0
904,Настольные игры,Риичи Маджонг,Сколько тайлов в стандартном наборе для Риичи Маджонг (без красных пятёрок)?,136,количество,1,1,,,0
905,Настольные игры,Риичи Маджонг,Какая ставка (в очках) делается при объявлении Риичи?,1000,количество,1,1,,,0
906,Настольные игры,Риичи Маджонг,В каком году (примерно) правила Риичи Маджонг были стандартизированы в Японии? (год),1920-е - 1930-е,дата,1,2,,XX век,1
907,Настольные игры,Риичи Маджонг,"В каком году вышел фильм Акиры Куросавы ""Маджонг якудза""?",Нет такого фильма Куросавы,дата,1,2,,XX век,1
909,Настольные игры,Шахматы,Сколько клеток на шахматной доске?,64,количество,1,1,,,0
910,Наука,Астрономия,Сколько планет в Солнечной системе имеют кольца?,4,количество,1,2,,,0
912,Наука,Биология,Сколько костей у акулы?,0,количество,3,1,,,0
913,Наука,Биология,Сколько камер в сердце человека?,4,количество,1,1,,,0
914,Наука,Биология,Сколько пар ребер у человека?,12,количество,1,1,,,0
915,Наука,Биология,Сколько зубов у взрослого человека (в норме)?,32,количество,1,1,,,0
916,Наука,Биология,Сколько хромосом в нормальной соматической клетке человека?,46,количество,1,1,,,0
919,Наука,Математика,Чему равно число Пи (с точностью до пяти знаков после запятой)?,3.14159,число,1,1,,,0
920,Наука,Факты,Сколько костей в теле взрослого человека?,206,количество,1,1,,,0
922,Наука,Факты,В каком году была открыта структура ДНК? (год),1953,дата,1,3,,XX век,0
923,Наука,Физика,Какова температура абсолютного нуля (в °C)?,-273.15,температура,1,3,,,0
925,Наука,Физика,Какова скорость света в вакууме (в м/с)?,299792458,скорость,1,3,,,0
926,Наука,Химия,Сколько протонов в атоме водорода?,1,количество,1,1,,,0
927,Наука,Химия,Каков атомный номер кислорода?,8,номер,1,1,,,0
928,Наука,Химия,Сколько химических элементов известно на данный момент (на начало 2024)?,118,количество,1,2,,,0
929,Общество,Население,"Сколько людей на Земле (на начало 2024, оценка)? (в миллиардах)",более 8,количество,1,1,,,1
930,Общество,Политика,Сколько стран входит в Евросоюз (на начало 2024)?,27,количество,1,2,,,0
931,Общество,Политика,В каком году была основана ООН? (год),1945,дата,1,3,,XX век,0
932,Общество,Факты,Сколько стран входит в состав НАТО (на начало 2024)?,32,количество,1,2,,,0
933,Общество,Факты,В каком году была основана компания Coca-Cola? (год),1886,дата,1,3,,XIX век,0
934,Общество,Факты,В каком году братья Макдональд открыли свой первый ресторан? (год),1940,дата,1,3,,XX век,0
935,Общество,Факты,Сколько человек проживает в агломерации Токио (оценка)? (в миллионах),более 37,количество,1,1,,,1
936,Общество,Факты,Сколько человек посетило Эйфелеву башню с момента ее открытия? (в миллионах),более 300,количество,1,2,,,1
937,Общество,Факты,"Какова численность населения Китая (на начало 2024, оценка)? (в миллиардах)",1400000000,количество,1,1,,,0
938,Общие,Головоломки,Сколько цветов на стандартном кубике Рубика 3x3?,6,количество,1,1,,,0
939,Одежда,Обувь,В каком веке туфли на высоком каблуке стали популярны среди европейской знати? (век н.э.),16-17,дата,2,3,,Наша эра,0
940,Одежда,Обувь,В каком году компания Keds выпустила первые массовые кроссовки? (год),1917,дата,1,2,,XX век,0
941,Одежда,Одежда,Сколько дырок в стандартной футболке?,4,количество,2,2,,,0
942,Одежда,Одежда,В каком веке перчатки стали распространенным аксессуаром в Европе? (век н.э.),13,дата,2,2,,Наша эра,0
943,Одежда,Одежда,В каком веке появилась футболка как нижнее белье? (век н.э.),19,дата,2,3,,XIX век,0
944,Одежда,Одежда,В каком году Леви Страусс и Джейкоб Дэвис запатентовали джинсы с заклепками? (год),1873,дата,2,3,,XIX век,0
945,Одежда,Одежда,В каком году Уиткомб Джадсон запатентовал прототип застежки-молнии? (год),1893,дата,1,2,,XIX век,0
949,Пиво,Производство,Сколько основных ингредиентов используется в производстве пива?,4,количество,1,1,,,0
953,Пиво,Стили,Каков средний процент алкоголя (ABV) в пиве стиля лагер? (в %),4-6,проценты,1,1,,,0
956,Природа,Горы,Какова официальная высота горы Эверест (Джомолунгмы) (в метрах)?,8848.86,высота,1,3,,,0
957,Природа,Океаны,"Сколько океанов на Земле (по классификации Международной гидрографической организации, с 2000 г.)?",5,количество,1,1,,,0
958,Природа,Океаны,Сколько процентов поверхности Земли покрыто водой? (в %),71,проценты,1,2,,,0
959,Природа,Факты,Сколько процентов суши Земли покрыто лесами? (в %),31,проценты,1,2,,,0
960,Природа,Факты,Какова высота водопада Анхель (в метрах)?,979,высота,1,3,,,0
966,Развлечения,Интернет,В каком году была основана компания Netflix (изначально как сервис проката DVD)? (год),1997,дата,1,3,,XX век,0
967,Развлечения,Интернет,В каком году был основан YouTube? (год),2005,дата,1,3,,Современность,0
968,Развлечения,Кино,Сколько фильмов входит в Расширенную вселенную DC (DCEU) (до перезапуска)?,15,количество,1,2,,,0
969,Развлечения,Кино,"Сколько фильмов входит в Кинематографическую вселенную Marvel (Сага Бесконечности + Сага Мультивселенной, на начало 2024)?",33,количество,1,2,,,0
973,Развлечения,Технологии,В каком году был выпущен первый iPhone? (год),2007,дата,1,2,,Современность,0
974,Сериалы,LOST,Сколько сезонов в сериале LOST?,6,количество,1,1,"фантастика, драма",,0
975,Сериалы,LOST,Сколько человек изначально выжило в авиакатастрофе рейса Oceanic 815 (в основной группе)?,48,количество,1,3,"фантастика, драма",,0
976,Сериалы,LOST,В каком году вышел первый эпизод LOST? (год),2004,дата,1,2,"фантастика, драма",Современность,0
977,Сериалы,Во все тяжкие,"Сколько главных протагонистов в сериале ""Во все тяжкие""?",2,количество,1,1,криминальная драма,,0
978,Сериалы,Во все тяжкие,"Сколько сезонов в сериале ""Во все тяжкие""?",5,количество,1,1,криминальная драма,,0
979,Сериалы,Во все тяжкие,"Сколько эпизодов в сериале ""Во все тяжкие""?",62,количество,1,2,криминальная драма,,0
980,Сериалы,Во все тяжкие,"В каком году вышел первый эпизод ""Во все тяжкие""? (год)",2008,дата,1,2,криминальная драма,Современность,0
981,Сериалы,Во все тяжкие,"В каком году происходят события финала сериала ""Во все тяжкие""? (год)",2010,дата,2,3,криминальная драма,Современность,0
983,Сериалы,Доктор Кто,Сколько сердец у Повелителей Времени (Доктора Кто)?,2,количество,2,1,научная фантастика,,0
985,Сериалы,Доктор Кто,"В каком году вышел первый эпизод ""Доктора Кто""? (год)",1963,дата,1,3,научная фантастика,XX век,0
986,Сериалы,Друзья,Сколько раз Росс Геллер женился (и разводился) за время сериала?,3,количество,2,3,ситком,,0
987,Сериалы,Друзья,"Сколько сезонов в сериале ""Друзья""?",10,количество,1,1,ситком,,0
988,Сериалы,Друзья,"В каком году вышел первый эпизод ""Друзей""? (год)",1994,дата,1,2,ситком,XX век,0
989,Сериалы,Игра престолов,Сколько драконов было у Дейенерис Таргариен изначально?,3,количество,1,3,фэнтези,,0
990,Сериалы,Игра престолов,"Сколько сезонов в сериале ""Игра престолов""?",8,количество,1,1,фэнтези,,0
991,Сериалы,Игра престолов,"В каком году вышел первый эпизод ""Игры престолов""? (год)",2011,дата,1,2,фэнтези,Современность,0
992,Сериалы,Как я встретил вашу маму,"Сколько сезонов в сериале ""Как я встретил вашу маму""?",9,количество,1,1,ситком,,0
993,Сериалы,Как я встретил вашу маму,"В каком году вышел первый эпизод ""Как я встретил вашу маму""? (год)",2005,дата,1,2,ситком,Современность,0
995,Сериалы,Комедии,"Сколько сезонов в сериале ""Клиника"" (Scrubs)?",9,количество,1,1,"комедия, драма",,0
996,Сериалы,Офис,"Сколько сезонов в американской версии сериала ""Офис""?",9,количество,1,1,"мокьюментари, комедия",,0
997,Сериалы,Офис,"В каком году вышел первый эпизод американской версии ""Офиса""? (год)",2005,дата,1,2,"мокьюментари, комедия",Современность,0
999,Сериалы,Очень странные дела,"Сколько сезонов в сериале ""Очень странные дела"" (вышедших на начало 2024)?",4,количество,1,1,"научная фантастика, ужасы",,0
1000,Сериалы,Очень странные дела,"Сколько главных героев-детей в основной группе в первом сезоне сериала ""Очень странные дела""?",4,количество,1,1,"научная фантастика, ужасы",,0
1001,Сериалы,Очень странные дела,"Сколько серий в первом сезоне сериала ""Очень странные дела""?",8,количество,1,2,"научная фантастика, ужасы",,0
1003,Сериалы,Очень странные дела,"В каком году вышел первый эпизод ""Очень странные дела""? (год)",2016,дата,1,2,"научная фантастика, ужасы",Современность,0
1004,Сериалы,Рик и Морти,"Сколько сезонов в сериале ""Рик и Морти"" (вышедших на начало 2024)?",7,количество,1,1,"научная фантастика, комедия",,0
1005,Сериалы,Рик и Морти,"В каком году вышел первый эпизод ""Рика и Морти""? (год)",2013,дата,1,2,"научная фантастика, комедия",Современность,0
1008,Сериалы,Сверхъестественное,"Сколько сезонов в сериале ""Сверхъестественное""?",15,количество,1,1,"мистика, драма",,0
1009,Сериалы,Сверхъестественное,"В каком году вышел первый эпизод ""Сверхъестественного""? (год)",2005,дата,1,2,"мистика, драма",Современность,0
1010,Сериалы,Секретные материалы,"Сколько сезонов в сериале ""Секретные материалы"" (включая возрождение)?",11,количество,1,1,"научная фантастика, мистика",,0
1011,Сериалы,Секретные материалы,"В каком году вышел первый эпизод ""Секретных материалов""? (год)",1993,дата,1,2,"научная фантастика, мистика",XX век,0
1013,Сериалы,Теория большого взрыва,"Сколько раз Шелдон Купер стучит в дверь Пенни (и говорит ""Пенни"") за один раз?",3,количество,2,3,ситком,,0
1014,Сериалы,Теория большого взрыва,"Сколько сезонов в сериале ""Теория большого взрыва""?",12,количество,1,1,ситком,,0
1015,Сериалы,Теория большого взрыва,"В каком году вышел первый эпизод ""Теории большого взрыва""? (год)",2007,дата,1,2,ситком,Современность,0
1016,Сериалы,Ходячие мертвецы,"Сколько сезонов в основном сериале ""Ходячие мертвецы""?",11,количество,1,1,"ужасы, драма",,0
1017,Сериалы,Ходячие мертвецы,"В каком году вышел первый эпизод ""Ходячих мертвецов""? (год)",2010,дата,1,2,"ужасы, драма",Современность,0
1018,Сериалы,Шерлок,"Сколько раз Шерлок Холмс инсценировал свою смерть в сериале BBC ""Шерлок""?",1,количество,2,3,"детектив, драма",,0
1020,Сериалы,Шерлок,"В каком году вышел первый эпизод BBC ""Шерлока""? (год)",2010,дата,1,2,"детектив, драма",Современность,0
1021,Спорт,Баскетбол,Сколько игроков одной команды одновременно находятся на площадке в баскетболе?,5,количество,1,1,баскетбол,,0
1022,Спорт,Баскетбол,Сколько минут длится один период (четверть) в баскетбольном матче по правилам FIBA? (в минутах),10,количество,1,2,баскетбол,,0
1023,Спорт,Баскетбол,Каков внутренний диаметр баскетбольного кольца (в см)?,45,диаметр,1,2,,,0
1024,Спорт,Легкая атлетика,Сколько километров составляет марафонская дистанция? (в км),42.195,количество,1,3,легкая атлетика,,0
1025,Спорт,Олимпийские игры,Сколько колец в олимпийском символе?,5,количество,1,2,,,0
1026,Спорт,Олимпийские игры,В каком году женщины впервые приняли участие в современных Олимпийских играх (Париж)? (год),1900,дата,1,2,,XX век,0
1027,Спорт,Плавание,Сколько метров составляет длина олимпийского бассейна? (в м),50,количество,1,1,,,0
1028,Спорт,Факты,В каком году состоялись первые Олимпийские игры современности (Афины)? (год),1896,дата,1,3,,XIX век,0
1030,Спорт,Футбол,Сколько игроков в футбольной команде на поле?,11,количество,1,1,футбол,,0
1031,Спорт,Футбол,Сколько игроков обеих команд одновременно находятся на поле во время футбольного матча?,22,количество,1,1,,,0
1032,Спорт,Футбол,Сколько минут длится один тайм футбольного матча (без добавленного времени)? (в минутах),45,количество,1,2,футбол,,0
1033,Спорт,Футбол,Сколько минут длится футбольный матч (основное время)? (в минутах),90,время,1,3,футбол,,0
1034,Спорт,Футбол,"Сколько голов забил Пеле за свою карьеру (включая неофициальные матчи, по его собственным подсчетам)?",1283,количество,1,1,футбол,,0
1035,Спорт,Футбол,В каком году сборная Бразилии впервые выиграла Чемпионат мира по футболу? (год),1958,дата,1,2,футбол,XX век,0
1036,Спорт,Хоккей,Сколько игроков (включая вратаря) одной хоккейной команды находятся на льду во время игры?,6,количество,1,1,,,0
1037,Спорт,Хоккей,Сколько минут длится один период хоккейного матча? (в минутах),20,количество,1,3,хоккей,,0
1039,Тело человека,Кости,Сколько костей в теле взрослого человека?,206,количество,1,1,,,0
1040,Тело человека,Кровь,Сколько литров крови в теле взрослого человека (в среднем)? (в л),4.5-6,количество,1,2,,,0
1042,Тело человека,Мышцы,Сколько мышц в теле человека (зависит от методики подсчета)?,640-850,количество,1,2,,,0
1047,Тело человека,Факты,Сколько литров слюны производит человек за свою жизнь (оценка)? (в тыс. л),20000-50000,количество,2,3,,,0
1049,Тело человека,Язык,Сколько вкусовых рецепторов на языке взрослого человека?,2000-10000,количество,1,3,,,0
1050,Транспорт,Автомобили,Сколько колец в логотипе Audi?,4,количество,2,1,,,0
1051,Транспорт,Автомобили,Какова максимальная официально зарегистрированная скорость автомобиля Bugatti Chiron Super Sport 300+ (в км/ч)?,490.484,скорость,1,2,,,0
1052,Транспорт,Корабли,"Какова длина ""Титаника"" (в метрах)?",269,длина,1,2,,,0
1053,Транспорт,Поезда,"Какова максимальная конструкционная скорость поезда ""Сапсан"" (в км/ч)?",350,скорость,1,3,,,0
1056,Транспорт,Факты,В каком году Карл Бенц получил патент на первый автомобиль? (год),1886,дата,1,3,,XIX век,0
1059,Транспорт,Факты,Какова длина Транссибирской магистрали (Москва - Владивосток) (в км)?,9288.2,длина,1,1,,,0
1062,Фильмы,Властелин колец,"Сколько фильмов в кинотрилогии Питера Джексона ""Властелин колец""?",3,количество,1,1,фэнтези,,0
1063,Фильмы,Властелин колец,Сколько Колец Власти было выковано всего (включая Единое)?,20,количество,1,3,фэнтези,,0
1064,Фильмы,Властелин колец,"В каком году вышел первый фильм ""Властелин колец: Братство Кольца""? (год)",2001,дата,1,2,фэнтези,Современность,0
1065,Фильмы,Гарри Поттер,Сколько крестражей создал Волан-де-Морт намеренно?,7,количество,1,3,фэнтези,,0
1066,Фильмы,Гарри Поттер,Сколько фильмов в основной серии о Гарри Поттере?,8,количество,1,1,фэнтези,,0
1067,Фильмы,Гарри Поттер,"В каком году вышел первый фильм ""Гарри Поттер и философский камень""? (год)",2001,дата,1,2,фэнтези,Современность,0
1068,Фильмы,Звездные войны,"Сколько эпизодов в основной Саге Скайуокеров (""Звездные войны"")?",9,количество,1,1,научная фантастика,,0
1069,Фильмы,Звездные войны,"В каком году вышел первый фильм ""Звездные войны: Эпизод IV - Новая Надежда""? (год)",1977,дата,1,2,научная фантастика,XX век,0
1071,Фильмы,Индиана Джонс,Сколько фильмов в серии об Индиане Джонсе (на 2023)?,5,количество,1,1,приключения,,0
1072,Фильмы,Индиана Джонс,"В каком году вышел первый фильм ""Индиана Джонс: В поисках утраченного ковчега""? (год)",1981,дата,1,2,приключения,XX век,0
1073,Фильмы,Матрица,Сколько пилюль предлагает Морфеус Нео на выбор?,2,количество,1,3,научная фантастика,,0
1074,Фильмы,Матрица,"Сколько фильмов в основной серии ""Матрица""?",4,количество,1,1,научная фантастика,,0
1075,Фильмы,Матрица,"В каком году вышел первый фильм ""Матрица""? (год)",1999,дата,1,2,научная фантастика,XX век,0
1076,Фильмы,Мстители,Сколько фильмов про команду Мстителей вышло в киновселенной Marvel?,4,количество,1,1,супергероика,,0
1077,Фильмы,Мстители,Сколько Камней Бесконечности?,6,количество,1,3,супергероика,,0
1078,Фильмы,Мстители,"В каком году вышел первый фильм ""Мстители""? (год)",2012,дата,1,2,супергероика,Современность,0
1079,Фильмы,Назад в будущее,"Сколько фильмов в трилогии ""Назад в будущее""?",3,количество,1,1,научная фантастика,,0
1080,Фильмы,Назад в будущее,"В каком году вышел первый фильм ""Назад в будущее""? (год)",1985,дата,1,2,научная фантастика,XX век,0
1081,Фильмы,Пираты Карибского моря,"Сколько фильмов в основной серии ""Пираты Карибского моря"" (на 2023)?",5,количество,1,1,приключения,,0
1082,Фильмы,Пираты Карибского моря,"В каком году вышел первый фильм ""Пираты Карибского моря: Проклятие Черной Жемчужины""? (год)",2003,дата,1,2,приключения,Современность,0
1083,Фильмы,Темный рыцарь,Сколько сторон у монеты Двуликого?,2,количество,2,3,супергероика,,0
1084,Фильмы,Темный рыцарь,"Сколько фильмов в трилогии Кристофера Нолана о Бэтмене (""Темный рыцарь"")?",3,количество,1,1,супергероика,,0
1085,Фильмы,Темный рыцарь,"В каком году вышел фильм ""Темный рыцарь""? (год)",2008,дата,1,2,супергероика,Современность,0
1086,Фильмы,Терминатор,"Сколько раз Терминатор (T-800) говорит фразу ""I'll be back"" в первом фильме ""Терминатор""?",1,количество,2,3,научная фантастика,,0
1087,Фильмы,Терминатор,"Сколько фильмов в основной серии ""Терминатор"" (на 2023)?",6,количество,1,1,научная фантастика,,0
1088,Фильмы,Терминатор,"В каком году вышел первый фильм ""Терминатор""? (год)",1984,дата,1,2,научная фантастика,XX век,0
1089,Фильмы,Ужасы,"В каком году вышел фильм Альфреда Хичкока ""Психо""? (год)",1960,дата,1,2,"ужасы, триллер",XX век,0
1090,Финансы,Налоги,Сколько процентов составляет основная ставка НДФЛ в России? (в %),13,проценты,1,1,,,0
1091,Финансы,Налоги,Сколько процентов составляет основная ставка НДС в России? (в %),20,проценты,1,1,,,0
1092,Финансы,Факты,В каком году была основана компания Apple? (год),1976,дата,1,3,,XX век,0
1094,Фрукты,Апельсины,Сколько литров сока можно получить из 1 кг апельсинов (примерно)? (в л),0.4-0.6,количество,1,3,,,0
1095,Фрукты,Апельсины,Сколько долек в среднем апельсине?,8-12,количество,1,2,,,0
1097,Фрукты,Бананы,Сколько миллиграмм калия содержится в среднем банане? (в мг),400-450,количество,1,1,,,0
